flood_ratio,mean_hag,pct_elevated,mean_age,res_ratio,bldg_density,mean_bldg_value,mean_sqft,areaSqKm_developed,loss_ratio
0.0947941533693512,3.5884,1.0,36.98557692307692,0.9411904761904762,34.088142196250296,64079.99552105106,1838.9038518960883,119.1564,0.1709505480589037
0.0342503739307261,3.595,1.0,42.85890087660148,0.9614020731042008,59.508156805454085,85328.7688307331,3017.7049152826708,119.1564,0.3857822626758399
0.0504634157701085,3.203,1.0,9.057692307692308,0.981132075471698,0.430159889619349,72776.98076923077,1511.326923076923,119.1564,0.0641210551652302
0.0314710905098804,3.4528,1.0,10.663774403470716,0.9896265560165975,3.9120201282363434,52057.79609544468,1538.479392624729,119.1564,0.102234765179114
0.0226723225578854,3.4384,1.0,10.557591623036648,0.910757946210269,6.639071503936367,79860.23691099476,3807.1832460732985,119.1564,0.1185375335175555
0.0,3.4472,1.0,12.279816513761467,0.975,3.57113870627384,52933.54587155963,2166.2522935779816,119.1564,0.039449482385298
0.028472706734443,3.6577,0.9978,33.683161953727506,0.9594510293200248,13.010307604902197,58720.58819836786,3903.7940991839296,119.1564,0.0763449976251339
0.0814619883040935,3.6235,1.0,31.671305500331343,0.9319973718791064,24.705786867949023,75903.22097994082,1954.4801052285432,119.1564,0.0757819465864367
0.0956002218375544,3.9767,0.997,48.13562375745527,0.9383829432309858,155.693531369207,188014.373758559,3733.365060761212,119.1564,0.0455609226914314
0.0097726165067307,3.9672,1.0,38.47515306848925,0.9556741703411464,69.94562129697263,135398.87072997875,3095.2269312544295,119.1564,0.3773115737588777
0.0226474033580632,3.4283,1.0,9.752808988764045,0.978021978021978,0.7385764142520898,80406.74157303371,2009.4719101123596,119.1564,0.1063830324325142
0.0443397284864804,3.578,0.9987,10.486486486486486,0.979075850043592,9.309309309309306,66952.36756756756,1806.744144144144,119.1564,0.1025970942254009
0.047411893490283,3.8607,1.0,9.805225653206652,0.968,7.101696290885478,75712.7327790974,1946.0653206650832,119.1564,0.0287967350099443
0.0076480013858213,4.3088,1.0,9.776723592662872,0.9810975609756096,13.310607905202495,111025.57685009488,2339.954430379747,119.1564,0.1211769070193477
0.0,3.4604,1.0,10.206974981046248,0.958553127354936,10.770229689148604,158639.60652009098,2984.054586808188,119.1564,0.0952278507136864
0.0429726232290808,3.8051,0.9958,38.00459395376408,0.957898440248622,69.20704488272054,123859.32457893234,3376.3588352840425,119.1564,0.022405535921961
0.0093419566779591,3.507,1.0,10.063829787234043,1.0,0.3976949922895867,87156.14893617021,1777.5531914893618,119.1564,0.09772546960302
0.0762293247964751,3.4958,1.0,7.816546762589928,0.9591836734693876,2.3861699537375207,57939.93525179856,1336.4928057553957,119.1564,0.01782301592698
0.0677406575993661,3.4564,1.0,10.40235173824131,0.9378060724779628,16.573330086843594,109865.1436605317,2204.1728016359916,119.1564,0.1571525303435877
0.0143878102559262,3.9345,1.0,10.807692307692308,0.9527687296416938,4.983361740118496,106074.245819398,2389.774247491639,119.1564,0.0200164397784956
0.0316404035823602,3.9165,0.9979,10.847174657534246,0.9745439117522274,19.12994075156237,93460.66352739726,2223.652397260274,119.1564,0.15451140893099
0.0410498850396548,3.843,1.0,9.958886454440004,0.9374762688267309,64.12628845061276,149120.64549180327,3951.7631915983607,119.1564,0.0065645691134797
1.6805875334016773e-05,3.7726,1.0,56.232945091514146,0.9565689467969598,29.900170440710973,61201.72377158034,2240.366533864542,119.1564,0.0639299331586945
0.4397360753489632,3.5997,1.0,29.675078864353313,0.9664634146341464,2.6621215810404992,85937.27329192546,1650.1149068322982,69.5457,0.2938115805950577
0.2033691109916595,3.6441,1.0,38.77009803921569,0.9619140625,16.622027432838237,132720.7177734375,2089.14453125,69.5457,0.0258447006083893
0.0651686742166553,3.4353,1.0,35.133883704235465,0.943010752688172,22.644265887509125,166815.8340501792,2668.4372759856633,69.5457,0.4732285083939321
0.1715213105839168,3.3161,0.9967,26.126648160999306,0.9786648313833448,23.58574791007223,135171.56743704726,1925.3932390479476,69.5457,0.2671237123173184
0.0901384451544196,3.6506,0.9997,28.760357971494862,0.975915539425932,24.600275951627296,131343.14955430836,2146.092769891053,69.5457,0.2340916080132098
0.1038629023323987,3.6204,0.9995,37.27407407407407,0.943952802359882,16.50840029218407,166836.43215339232,2618.4670599803344,69.5457,0.0870936040488539
0.0509737611311263,3.3389,0.9987,27.8,0.9645083932853716,16.922327733138538,127076.85590778098,2088.260806916426,69.5457,0.2248102414141583
0.1621794871794872,3.3782,0.9996,27.504720692368213,0.9590003904724717,20.78565051538024,109705.39359625148,1977.3545490042952,69.5457,0.2933290204069104
0.0661025641025641,3.1975,0.9972,29.95077565632458,0.9687868080094229,27.562697832968095,131107.38309776207,2158.270023557126,69.5457,0.1407000813218028
