flood_ratio,mean_hag,pct_elevated,mean_age,res_ratio,bldg_density,mean_bldg_value,mean_sqft,areaSqKm_developed,pct_miss_elev,loss_ratio,event_name,county,year,grid_id,total_paid,total_bldg_val
0.014083323529906,3.7726,1.0,56.232945091514146,0.9565689467969598,29.900170440710973,61201.72377158034,2240.366533864542,69.5457,0.0,0.1038578495120261,Hurricane Matthew,Wayne,2016,35.5_-78.0,8545.32,82279.0
0.1315085614298212,4.2475,1.0,68.88888888888889,0.9629629629629628,0.2191380569758947,56030.0,1673.148148148148,69.5457,0.0,0.0413734892803787,Hurricane Matthew,Edgecombe,2016,35.7_-77.5,69428.48000000001,1678091.0
0.0295739348370927,3.7068,1.0,35.97784810126582,0.9779086892488954,5.510916321727131,56718.85780525502,1557.2132921174652,69.5457,0.0,0.2968799899199322,Hurricane Matthew,Edgecombe,2016,35.7_-77.6,362850.88,1222214.0
0.0084646329198793,3.8063,1.0,48.06941431670282,0.97330169089291,27.35979222465708,55245.05808236017,1600.5955746773202,69.5457,0.0,0.1869598122927104,Hurricane Matthew,Edgecombe,2016,35.7_-77.7,21195.26,113368.0
0.1287839020122484,3.3888,1.0,39.03412256267409,0.9013157894736842,12.33666098530963,64072.506915629325,2007.4917012448136,69.5457,0.0,0.3642878838846981,Hurricane Matthew,Edgecombe,2016,35.8_-77.5,10384243.61,28505597.0
0.1381830372108615,3.8157,1.0,37.220238095238095,0.9467023606716964,33.3495657819982,170311.65577566245,2428.7200926164137,69.5457,0.0,0.1017091965516234,Hurricane Matthew,Edgecombe,2016,35.8_-77.6,146270.64,1438126.0
0.0331964465303385,3.851,1.0,35.219613980177364,0.9650872817955112,16.273029786543294,54019.927385892115,1809.3023858921165,69.5457,0.0,0.0572907234563851,Hurricane Matthew,Edgecombe,2016,35.8_-77.7,49946.11,871801.0
0.0179250042038002,3.8374,1.0,37.96812559467174,0.9745570195365744,17.86380975570164,51941.74260216064,1577.911695631752,69.5457,0.0,0.2409295385942216,Hurricane Matthew,Edgecombe,2016,35.8_-77.8,293325.69,1217475.0
0.1821806509855058,3.5793,1.0,44.328605200945624,0.960655737704918,7.4263452641831,77490.8608490566,1850.944575471698,69.5457,0.0,0.1911898687521033,Hurricane Matthew,Edgecombe,2016,35.9_-77.5,238608.77999999997,1248020.0
0.0933623868588669,3.8441,1.0,49.55605285592498,0.9537797863599012,39.50978005032058,92090.73709813876,2917.993866328258,69.5457,0.0,0.279594758266476,Hurricane Matthew,Edgecombe,2016,35.9_-77.6,30702.58,109811.0
0.0363208340339667,3.8227,1.0,32.71838111298482,0.9476117103235748,10.534859183507828,77476.90575479566,1929.6630525437863,69.5457,0.0,0.0479797054320606,Hurricane Matthew,Edgecombe,2016,35.9_-77.7,40427.22,842590.0
0.0165881957289389,3.6992,1.0,52.209135399673734,0.966383269813349,83.0533235938641,92703.76492294334,1864.6691990449317,69.5457,0.0,0.1784207996786591,Hurricane Matthew,Edgecombe,2016,35.9_-77.8,2827718.28,15848591.0
2.5409947147309933e-05,3.5997,1.0,29.675078864353313,0.9664634146341464,2.6621215810404992,85937.27329192546,1650.1149068322982,63.5913,0.0,0.0058954545454545,Hurricane Floyd,Robeson,1999,34.4_-79.0,389.1,66000.0
0.0,3.3161,0.9967,26.126648160999306,0.9786648313833448,23.58574791007223,135171.56743704726,1925.3932390479476,63.5913,0.0,0.0515943090015784,Hurricane Floyd,Robeson,1999,34.5_-79.0,158494.57,3071939.0
0.0,3.6506,0.9997,28.760357971494862,0.975915539425932,24.600275951627296,131343.14955430836,2146.092769891053,63.5913,0.0,0.2599536858355847,Hurricane Floyd,Robeson,1999,34.5_-79.1,2694.16,10364.0
0.0087944395350418,3.3389,0.9987,27.8,0.9645083932853716,16.922327733138538,127076.85590778098,2088.260806916426,63.5913,0.0,0.0506408215123555,Hurricane Floyd,Robeson,1999,34.7_-79.0,53210.59,1050745.0
4.980906524987548e-05,3.7665,1.0,40.046306504961414,0.8745945945945945,7.507507507507506,66555.27620087336,1700.8176855895197,63.5913,0.0,0.007297255095332,Hurricane Floyd,Lenoir,1999,35.0_-77.7,887.93,121680.0
4.493856897620952e-05,3.4472,1.0,9.517241379310343,0.9775280898876404,0.7223439655872086,111209.14942528737,2129.4827586206898,63.5913,0.0,0.0923544343077018,Hurricane Floyd,Beaufort,1999,35.2_-76.7,44643.21,483390.0
0.0,3.3014,1.0,9.54739336492891,0.9645232815964524,3.6604171739306866,183913.3317535545,1747.5,63.5913,0.0,0.0818230976457267,Hurricane Floyd,Beaufort,1999,35.2_-76.8,4191.47,51226.0
0.0238787186302027,3.5401,0.9989,44.32512315270936,0.9592326139088728,3.3844655466277076,64298.59375,1747.6225961538462,63.5913,0.0,0.497731040970628,Hurricane Floyd,Lenoir,1999,35.2_-77.5,1285674.12,2583070.0
0.1183377748167888,3.5992,0.9942,47.74004400440044,0.937588963100843,74.12547682817952,209963.4498027181,2926.780688294607,63.5913,0.0,0.0099447093424524,Hurricane Floyd,Lenoir,1999,35.2_-77.6,7037412.45,707653910.0
0.0591189207195203,3.6724,0.9992,34.118983152827916,0.9413864921154418,54.55725996266535,179777.86992840096,3619.206443914082,63.5913,0.0,0.1139847959969207,Hurricane Floyd,Lenoir,1999,35.2_-77.7,27244.19,239016.0
0.0152481678880746,3.8339,0.9965,32.63628034814475,0.948499776085983,18.12352893433974,192752.37078651684,1927.5177528089887,63.5913,0.0,0.7257917724852745,Hurricane Floyd,Lenoir,1999,35.2_-77.8,679309.89,935957.0
0.0007371110273484,3.5884,1.0,36.98557692307692,0.9411904761904762,34.088142196250296,64079.99552105106,1838.9038518960883,63.5913,0.0,0.4748531613261914,Hurricane Floyd,Wayne,1999,35.2_-78.0,2992775.82,6302529.0
0.0013780817773893,3.595,1.0,42.85890087660148,0.9614020731042008,59.508156805454085,85328.7688307331,3017.7049152826708,63.5913,0.0,0.4471780459601893,Hurricane Floyd,Wayne,1999,35.2_-78.1,339157.27,758439.0
